iter	Passed	Remaining
310	28357	62823
311	28359	62537
312	28364	62256
313	28380	62003
314	28490	61956
315	28598	61903
316	28604	61629
317	28767	61696
318	28868	61628
319	29033	61696
320	29051	61452
321	29229	61544
322	29245	61297
323	29430	61403
324	29436	61138
325	29439	60866
326	29500	60715
327	29672	60792
328	29722	60618
329	29725	60350
330	29729	60086
331	29730	59819
332	29734	59558
333	29743	59308
334	29760	59075
335	29923	59133
336	29974	58971
337	30133	59019
338	30139	58768
339	30143	58514
340	30146	58259
341	30148	58004
342	30152	57755
343	30157	57510
344	30168	57275
345	30332	57332
346	30334	57085
347	30340	56845
348	30450	56800
349	30639	56901
350	30644	56661
351	30646	56417
352	30832	56511
353	30835	56271
354	30845	56043
355	30875	55852
356	31059	55941
357	31107	55784
358	31110	55549
359	31113	55312
360	31290	55386
361	31293	55152
362	31299	54925
363	31465	54978
364	31469	54747
365	31474	54521
366	31570	54453
367	31730	54493
368	31911	54570
369	31939	54383
370	31942	54155
371	31951	53940
372	31981	53759
373	31984	53534
374	31989	53315
375	32158	53368
376	32160	53145
377	32162	52923
378	32331	52975
379	32334	52756
380	32492	52789
381	32494	52569
382	32497	52352
383	32501	52137
384	32504	51922
385	32510	51712
386	32538	51539
387	32542	51329
388	32696	51356
389	32886	51437
390	32895	51236
391	33063	51282
392	33096	51118
393	33098	50908
394	33102	50702
395	33264	50736
396	33438	50790
397	33442	50583
398	33608	50623
399	33611	50417
400	33615	50213
401	33733	50180
402	33736	49976
403	33928	50052
404	33931	49849
405	34090	49875
406	34093	49674
407	34147	49548
408	34263	49509
409	34265	49308
410	34268	49110
411	34271	48912
412	34376	48860
413	34379	48662
414	34430	48534
415	34482	48407
416	34537	48285
417	34538	48090
418	34549	47906
419	34551	47713
420	34553	47521
421	34599	47390
422	34603	47201
423	34606	47011
424	34718	46971
425	34729	46794
426	34743	46622
427	34745	46436
428	34748	46250
429	34757	46074
430	34772	45906
431	34775	45723
432	34950	45766
433	35111	45790
434	35299	45848
435	35305	45670
436	35308	45488
437	35483	45528
438	35666	45578
439	35695	45431
440	35697	45249
441	35856	45266
442	36016	45285
443	36194	45324
444	36211	45162
445	36380	45190
446	36386	45014
447	36401	44852
448	36404	44674
449	36578	44707
450	36604	44559
451	36608	44384
452	36639	44241
453	36643	44068
454	36645	43894
455	36748	43840
456	36753	43669
457	36758	43499
458	36760	43327
459	36762	43156
460	36790	43014
461	36793	42846
462	36848	42738
463	37016	42760
464	37023	42596
465	37049	42455
466	37216	42476
467	37277	42375
468	37298	42228
469	37413	42189
470	37418	42025
471	37572	42029
472	37589	41880
473	37746	41887
474	37775	41751
475	37938	41764
476	37969	41630
477	37973	41469
478	38128	41471
479	38131	41308
480	38296	41322
481	38326	41189
482	38486	41195
483	38646	41201
484	38648	41039
485	38659	40886
486	38690	40756
487	38695	40598
488	38861	40609
489	38864	40450
490	38868	40293
491	39034	40304
492	39039	40147
493	39043	39991
494	39213	40005
495	39216	39848
496	39380	39855
497	39550	39868
498	39578	39736
499	39582	39582
500	39750	39591
501	39913	39595
502	40020	39543
503	40023	39388
504	40190	39394
505	40194	39240
506	40224	39113
507	40226	38959
508	40428	38998
509	40613	39020
510	40616	38867
511	40791	38879
512	40808	38740
513	40811	38588
514	40981	38594
515	40992	38450
516	40995	38299
517	41024	38173
518	41041	38036
519	41091	37930
520	41095	37782
521	41111	37646
522	41114	37498
523	41286	37504
524	41290	37357
525	41293	37211
526	41460	37212
527	41476	37077
528	41657	37090
529	41763	37035
530	41929	37033
531	41937	36892
532	41986	36787
533	42147	36780
534	42310	36774
535	42471	36766
536	42639	36763
537	42642	36618
538	42805	36611
539	42968	36603
540	43132	36594
541	43140	36454
542	43330	36468
543	43496	36460
544	43499	36316
545	43596	36250
546	43760	36240
547	43763	36096
548	43766	35953
549	43950	35959
550	43955	35818
551	44142	35826
552	44242	35762
553	44254	35626
554	44428	35623
555	44446	35493
556	44602	35474
557	44613	35338
558	44621	35202
559	44787	35189
560	44952	35176
561	44957	35038
562	44960	34898
563	44962	34758
564	45135	34750
565	45137	34611
566	45140	34472
567	45144	34334
568	45149	34199
569	45321	34190
570	45327	34055
571	45385	33959
572	45556	33948
573	45561	33813
574	45741	33808
575	45751	33678
576	45754	33542
577	45758	33408
578	45912	33383
579	46012	33319
580	46172	33297
581	46327	33272
582	46330	33138
583	46486	33113
584	46654	33096
585	46817	33075
586	46820	32941
587	46849	32826
588	47026	32815
589	47190	32793
590	47192	32659
591	47372	32648
592	47552	32636
593	47555	32503
594	47736	32492
595	47906	32473
596	48012	32410
597	48029	32287
598	48189	32260
599	48349	32233
600	48359	32105
601	48521	32078
602	48523	31946
603	48525	31814
604	48541	31692
605	48551	31566
606	48714	31539
607	48874	31511
608	49034	31482
609	49193	31451
610	49365	31429
611	49530	31401
612	49561	31289
613	49571	31163
614	49600	31050
615	49604	30922
616	49769	30894
617	49939	30868
618	50104	30839
619	50288	30821
620	50464	30798
621	50475	30674
622	50669	30662
623	50860	30646
624	51022	30613
625	51196	30587
626	51207	30463
627	51383	30437
628	51393	30313
629	51396	30184
630	51558	30150
631	51734	30123
632	51839	30055
633	52012	30026
634	52176	29991
635	52353	29963
636	52515	29926
637	52677	29889
638	52852	29858
639	53021	29824
640	53028	29699
641	53189	29660
642	53357	29624
643	53525	29588
644	53698	29554
645	53871	29520
646	53873	29393
647	54035	29352
648	54051	29232
649	54223	29197
650	54414	29171
651	54417	29044
652	54594	29010
653	54755	28968
654	54914	28924
655	54924	28801
656	55088	28759
657	55247	28715
658	55426	28680
659	55604	28644
660	55777	28605
661	55950	28566
662	55976	28452
663	56151	28414
664	56314	28368
665	56470	28320
666	56632	28273
667	56806	28233
668	56970	28187
669	57158	28152
670	57162	28027
671	57334	27984
672	57385	27882
673	57556	27838
674	57726	27794
675	57893	27747
676	58063	27702
677	58235	27657
678	58413	27615
679	58581	27567
680	58756	27523
681	58918	27472
682	59094	27427
683	59261	27378
684	59442	27334
685	59452	27212
686	59467	27093
687	59631	27042
688	59803	26994
689	59967	26941
690	60136	26891
691	60315	26845
692	60319	26721
693	60323	26598
694	60449	26528
695	60663	26496
696	60848	26452
697	60862	26333
698	61029	26280
699	61199	26228
700	61386	26183
701	61558	26131
702	61735	26081
703	61794	25981
704	61971	25931
705	62144	25878
706	62310	25823
707	62481	25769
708	62649	25713
709	62653	25590
710	62819	25534
711	62996	25481
712	63166	25425
713	63343	25372
714	63524	25320
715	63702	25267
716	63868	25208
717	64041	25152
718	64214	25096
719	64386	25039
720	64565	24984
721	64757	24934
722	64920	24872
723	65099	24816
724	65101	24693
725	65282	24638
726	65483	24590
727	65488	24468
728	65493	24346
729	65666	24287
730	65843	24229
731	66018	24170
732	66189	24110
733	66373	24053
734	66548	23993
735	66672	23915
736	66700	23802
737	66868	23739
738	67040	23677
739	67043	23555
740	67219	23495
741	67385	23430
742	67554	23366
743	67727	23304
744	67893	23238
745	68068	23175
746	68246	23114
747	68410	23047
748	68582	22982
749	68746	22915
750	68913	22848
751	68966	22744
752	69128	22675
753	69298	22609
754	69473	22544
755	69478	22424
756	69637	22353
757	69805	22286
